"Slide","Title","NotesCharacters","HasNotes","PictureCount","ArtifactPicturesWithAltText","ArtifactCaptionCount","TargetSlide","ShapeOverflowCount","RenderBytes"
"1","","1066","True","0","0","0","False","0","62019"
"2","The executable model is the engineering hub","1306","True","0","0","0","False","0","74495"
"3","Navigate the entire aerospace evidence chain","1058","True","0","0","0","False","0","87025"
"4","MATLAB computes; Simulink exposes behavior","1281","True","0","0","0","False","0","79742"
"5","A Simulink project is more than the model","1428","True","0","0","0","False","0","82682"
"6","The editor exposes structure and diagnostics","2303","True","1","1","1","True","0","204971"
"7","A small grammar scales to aircraft functions","1303","True","0","0","0","False","0","75781"
"8","Flight-control models begin with a closed loop","2932","True","1","1","1","True","0","207231"
"9","Control-law math maps to reusable patterns","2509","True","1","1","1","True","0","169629"
"10","Pitch, roll, and altitude share one discipline","2335","True","1","1","1","True","0","158101"
"11","Modes select the law; schedules adapt it","2621","True","1","1","1","True","0","136656"
"12","DO-178C demands evidence—not diagrams","1305","True","0","0","0","False","0","86032"
"13","Software levels scale rigor with consequence","1284","True","0","0","0","False","0","78074"
"14","Traceability turns artifacts into evidence","1429","True","0","0","0","False","0","68059"
"15","Part 1 — plan, specify, develop, and test","1526","True","0","0","0","False","0","72979"
"16","Part 2 — integrate, automate, prove","1561","True","0","0","0","False","0","71317"
"17","A testable requirement is precise and observable","1368","True","0","0","0","False","0","76103"
"18","One limiter requirement, one chain of proof","2935","True","1","1","1","True","0","160109"
"19","Build the component in six reviewable steps","2444","True","1","1","1","True","0","152830"
"20","Explicit interfaces make integration predictable","2787","True","1","1","1","True","0","221743"
"21","Reviewable models make intent obvious","1270","True","0","0","0","False","0","44014"
"22","A harness makes expectations executable","2699","True","1","1","1","True","0","227065"
"23","Strong tests target boundaries and failures","1215","True","0","0","0","False","0","71548"
"24","MATLAB tests preserve intent without .mldatx","2970","True","1","1","1","True","0","203243"
"25","Callbacks make tests deterministic","3042","True","1","1","1","True","0","131277"
"26","Integration succeeds when interfaces agree","2998","True","1","1","1","True","0","222843"
"27","Jenkins makes verification repeatable","1462","True","0","0","0","False","0","65833"
"28","Classify the first meaningful failure","1415","True","0","0","0","False","0","70465"
"29","HIL tests real hardware in a virtual aircraft","1377","True","0","0","0","False","0","71476"
"30","HIL pass criteria must be quantitative","1299","True","0","0","0","False","0","80668"
"31","One limiter, one unbroken evidence chain","3283","True","1","1","1","True","0","204208"
"32","Align behavior, interfaces, and evidence","1458","True","0","0","0","False","0","96987"
